0,1,2,3,4,5,6
26.76,64.62,19.677999999999997,4.614,100.39999999999999,3.2079999999999997,203.25
28.23,64.12,15.378,2.2619999999999996,100.77,1.82,122.69
27.772000000000002,64.5,15.860000000000003,1.5699999999999998,100.61,2.712,133.65
26.568,75.85,15.26,0.07,100.47,3.07,125.81
28.9,67.75,15.87,1.482,100.4,2.908,125.56
26.918,78.586,17.14,1.158,100.55,3.84,152.486
29.05,65.75,15.26,0.0,100.57,4.23,120.62
28.92,66.12,15.44,0.09,100.482,4.39,116.62
29.62,61.25,16.042,2.092,100.364,3.3280000000000003,92.38
29.03,63.94,15.38,1.05,100.47,2.34,85.19
28.826,57.88,14.34,0.01,100.51,2.61,63.69
27.080000000000002,55.06,13.67,0.1,100.44,2.48,84.81
29.99,56.75,16.784,1.262,100.474,1.77,105.06
29.6,54.25,13.31,0.0,100.586,1.85,102.69
28.9,61.962,14.330000000000002,0.0,100.48400000000001,2.58,134.56400000000002
27.426,66.726,14.930000000000001,0.0,100.35,2.61,161.94
28.16,79.086,14.22,2.658,100.38,2.968,153.026
28.41,66.31,15.01,0.0,100.36,3.09,140.69
29.018,60.38,13.940000000000001,0.0,100.5,2.59,113.66199999999999
27.99,62.81,13.31,2.322,100.512,4.19,120.81
27.544,65.988,13.06,0.0,100.534,2.6380000000000003,124.38
28.64,70.288,17.419999999999998,0.8400000000000001,100.32199999999999,4.19,132.81
28.62,61.25,13.38,0.0,100.54,3.88,126.94000000000001
28.727999999999998,62.94,14.22,0.0,100.51,3.4,150.06
29.62,60.69,16.334000000000003,3.13,100.44,3.23,157.19
28.44,73.536,14.674000000000001,0.08199999999999999,100.51,3.31,156.31
29.332,69.524,14.709999999999999,0.01,100.526,2.3240000000000003,134.31
29.29,61.386,16.54,0.04,100.42999999999999,2.564,134.81
29.51,76.152,17.32,12.326,100.28,4.99,129.94
29.34,64.236,14.382000000000001,1.31,100.58,5.48,132.69
29.37,67.62,17.15,0.68,100.30199999999999,3.87,134.44
30.45,59.94,15.08,0.0,100.564,2.8180000000000005,128.44
30.14,76.912,15.93,0.28,100.45,3.91,146.19
29.26,72.674,15.69,9.154,100.38,4.16,190.18800000000002
29.73,72.026,15.664000000000001,6.412000000000001,100.41,5.19,131.69
30.02,59.726,14.026,0.0,100.66799999999999,3.4479999999999995,129.578
29.64,67.348,16.151999999999997,0.518,100.55,5.62,110.276
28.328000000000003,59.12,15.431999999999999,2.9200000000000004,100.58,4.8,113.31
26.828000000000003,78.314,13.37,0.66,100.402,2.784,110.75
30.79,58.552,16.869999999999997,0.8100000000000002,100.328,4.07,109.25
28.068,80.352,14.89,1.4860000000000002,100.66,3.48,103.81
30.26,55.88,14.1,0.05,100.69,4.28,107.94
28.516000000000002,67.598,15.307999999999998,0.37,100.61,3.92,117.94
28.24,70.31,16.48,1.9,100.59,2.89,103.12
27.288,61.75,18.740000000000002,2.41,100.372,2.32,169.28799999999998
29.44,65.0,15.626,0.8800000000000001,100.35000000000001,3.5200000000000005,150.69
29.97,76.31,17.578,8.344000000000001,100.26599999999999,3.76,240.67600000000002
28.17,69.25,16.24,2.0919999999999996,100.384,3.77,109.25
27.59,77.94,17.52,14.17,100.37,2.6740000000000004,105.69
28.51,73.69,17.33,0.06,100.39,5.19,117.44
29.73,67.12,16.54,0.02,100.38,5.17,123.12
30.06,66.94,16.97,0.57,100.33,4.95,130.31
30.54,67.12,17.833999999999996,2.876,100.26,4.58,144.38
31.29,63.75,16.78,0.0,100.2,3.41,157.94
27.374000000000002,62.75,14.574000000000002,0.0,100.636,2.29,150.75
30.87,61.88,15.430000000000001,0.09,100.49,4.96,130.56
30.85,55.0,13.67,0.04,100.572,5.38,120.25
27.389999999999997,56.0,17.261999999999997,6.212000000000001,100.474,4.83,115.75
30.9,59.62,15.5,0.0,100.39,5.34,132.5
31.26,58.31,15.56,0.0,100.42,3.91,146.69
26.824,57.88,15.87,9.304000000000002,100.37,3.33,167.988
31.83,57.75,17.676,5.044,100.34,3.8,177.5
28.330000000000002,59.69,13.596,0.0,100.502,4.046,135.43800000000002
28.036,82.36,16.54,10.894000000000002,100.31,3.382,191.19
32.37,81.124,18.139999999999997,7.378,100.29,2.61,206.12
30.51,63.062,17.701999999999998,0.16,100.39,2.89,159.06
30.05,66.06,17.09,0.8219999999999998,100.46,3.4,139.94
30.05,66.62,17.15,0.82,100.49799999999999,3.18,146.44
31.62,79.086,15.75,2.344,100.38,2.9680000000000004,154.826
27.869999999999997,63.81,18.664,1.69,100.338,2.572,154.38
28.357999999999997,80.864,17.712,1.59,100.44,4.19,125.5
26.65,60.62,16.3,1.39,100.5,3.39,141.25
27.25,82.926,17.91,18.583999999999996,100.31,3.26,205.98600000000002
31.55,55.076,14.991999999999999,0.033999999999999996,100.40599999999999,4.26,122.41399999999999
28.856,81.112,17.58,1.3459999999999999,100.42600000000002,2.6,154.93599999999998
