0,1,2,3,4,5,6
26.52607,82.75,15.066946,48.47535,100.35298,2.5,148.18382
28.65,68.78168,14.987432,13.36,100.18,1.55,232.19
28.98,80.94,15.278862,49.41948,100.34178,2.1,202.44
28.52,70.216896,15.181698,50.027603,100.29,2.8,230.44
26.786144,69.86408,15.097149,50.81909,100.13,2.64,234.06
29.33,79.38,19.96,1.66,100.04,3.09,226.62
28.92,80.88,14.574459,27.74049,100.277985,2.9047112,221.31
25.81069,76.75,15.194708,33.08482,100.22,3.4559789,146.64395
29.73,69.44188,19.1,32.48621,100.38235,3.634732,231.81
26.339016,69.07152,18.62,34.367306,100.15,3.896319,169.32387
26.145103,68.84082,15.957211,38.913788,100.18,2.92,228.69
28.84,68.18465,16.204617,3.45,100.16,2.97,174.08876
26.670267,78.69,19.17,6.37,100.39516,2.5,173.95465
26.723457,83.31,19.47,4.43,100.27,2.04,251.56
26.681232,67.15413,19.35,38.56764,100.34,2.03,182.55199
23.534748,54.91679,12.52376,0.17,100.31,1.98,194.5
24.834335,76.12,19.04,31.971739,100.22738,2.7283838,121.121284
29.15,80.12,14.336863,38.919598,100.30576,3.91,135.7373
29.14,68.03889,14.986046,39.469627,100.36106,3.41,234.12
25.286087,68.79584,15.18042,40.4186,100.31,4.07,241.38
28.1,69.198364,18.92,35.758873,100.42944,3.862919,150.70079
25.061834,83.94,15.681549,34.436455,100.41,3.970367,155.79265
27.78,78.56,15.672131,34.908077,100.43,4.0814123,240.31
25.759916,76.75,15.389088,1.8,100.42521,4.261591,162.54495
29.67,71.5,17.88,40.557266,100.41917,4.338394,164.52014
28.4,79.25,12.370986,19.269133,100.34,2.2379594,96.78205
28.22,77.69,14.248491,4.47,100.33495,3.94,122.315
24.910978,63.59364,14.91898,1.39,100.28,2.65,251.44
25.117188,68.5,17.21,0.12,100.31,3.36,248.5
25.080397,67.710884,15.5279045,1.0,100.43144,3.7214632,235.69
29.67,68.914185,17.52,31.927973,100.44989,3.6529946,146.06186
25.028606,68.93938,15.839121,0.52,100.4537,2.47,151.62494
28.25,82.31,15.892678,29.135885,100.46536,2.66,156.32352
28.6,68.09266,16.131472,23.427097,100.46971,3.37,220.5
29.17,67.646225,18.07,21.59176,100.47335,3.64,161.04802
28.36,77.5,13.14989,19.60624,100.16908,4.37,242.0
25.173185,60.32182,14.280039,31.1584,100.22,3.01,250.75
25.578283,91.62,14.511375,39.49828,100.32961,3.28,133.15898
